lambda,offset,r,oos
0.0,7,0.08,0.0035504543371002034
0.0,7,0.09,0.0032174849873037475
0.0,7,0.09999999999999999,0.0028707940146185814
0.0,7,0.11,0.0025171316577033047
0.0,7,0.12,0.002203585185804942
0.0,7,0.13,0.0018890634035523984
0.0,7,0.14,0.0015275545839254804
0.0,8,0.01,0.019032281681873015
0.0,8,0.02,0.019252582255730778
0.0,8,0.03,0.01948223268785397
0.0,8,0.04,0.019691844220144347
0.0,8,0.05,0.01989774508859942
0.0,8,0.060000000000000005,0.020126221495261075
0.0,8,0.06999999999999999,0.02032761407881924
0.0,8,0.08,0.020504490598941508
0.0,8,0.09,0.020710657874441644
0.0,8,0.09999999999999999,0.02091501735633735
0.0,8,0.11,0.021119721602099285
0.0,8,0.12,0.02132387797954782
0.0,8,0.13,0.021534227787276053
0.0,8,0.14,0.02154929335185273
0.0,9,0.01,-0.012520166379805934
0.0,9,0.02,-0.012586968105912817
0.0,9,0.03,-0.012618337248012517
0.0,9,0.04,-0.012667699564900211
0.0,9,0.05,-0.012687658303034866
0.0,9,0.060000000000000005,-0.012784229876348844
0.0,9,0.06999999999999999,-0.012758325876355402
0.0,9,0.08,-0.012856152270862661
0.0,9,0.09,-0.012889629713874291
0.0,9,0.09999999999999999,-0.012950023244882407
0.0,9,0.11,-0.012970250850434325
0.0,9,0.12,-0.013006491254159541
0.0,9,0.13,-0.013074455965063514
0.0,9,0.14,-0.013109734048610808
0.0,10,0.01,-0.013203390301671674
0.0,10,0.02,-0.01345612816273458
0.0,10,0.03,-0.013370274872301293
0.0,10,0.04,-0.013358893822116361
0.0,10,0.05,-0.0135502014143805
0.0,10,0.060000000000000005,-0.013670614349141392
0.0,10,0.06999999999999999,-0.013361450980775602
0.0,10,0.08,-0.013815596213586707
0.0,10,0.09,-0.013807216892179069
0.0,10,0.09999999999999999,-0.013737264715566595
0.0,10,0.11,-0.014029228359003526
0.0,10,0.12,-0.014071269899573104
0.0,10,0.13,-0.01410269236074969
0.0,10,0.14,-0.014034049671803602
0.0,11,0.01,-0.013310056194171485
0.0,11,0.02,-0.01345612816273458
0.0,11,0.03,-0.01350360575786529
0.0,11,0.04,-0.013552145443524068
0.0,11,0.05,-0.013495747962010606
0.0,11,0.060000000000000005,-0.013670614349141392
0.0,11,0.06999999999999999,-0.013340997711510033
0.0,11,0.08,-0.013824707293615079
0.0,11,0.09,-0.013807216892179069
0.0,11,0.09999999999999999,-0.013737264715566595
0.0,11,0.11,-0.014016419851595022
0.0,11,0.12,-0.014071269899573104
0.0,11,0.13,-0.01410269236074969
0.0,11,0.14,-0.01413782531961659
0.0,12,0.01,-0.013203390301671674
0.0,12,0.02,-0.01345612816273458
