"country" "year" "pop" "gdp" "lfpr" "unemplrate" "secondary" "highun" "gdpcap" "emplrate"
"1" "Albania" 1993 3193894 2.372e+09 NA NA NA 0 742.667101663361 NA
"2" "Albania" 1994 3234573 2.595e+09 NA NA NA 0 802.269727719857 NA
"3" "Albania" 1995 3265918 2.826e+09 NA NA NA 0 865.300353530003 NA
"4" "Albania" 1996 3303659 3.084e+09 NA NA NA 0 933.510389540809 NA
"5" "Albania" 1997 3339329 2.769e+09 NA NA NA 0 829.208502666254 NA
"6" "Albania" 1998 3363893 3.121e+09 NA NA NA 0 927.794076684365 NA
"7" "Albania" 1999 NA 3.436e+09 NA NA NA 0 NA NA
"8" "Albania" 2000 NA 3.687e+09 NA NA NA 0 NA NA
"9" "Albania" 2001 NA 3.945e+09 NA NA NA 0 NA NA
"10" "Albania" 2002 NA 4.059e+09 NA NA NA 0 NA NA
"11" "Albania" 2003 NA 4.29e+09 NA NA NA 0 NA NA
"12" "Albania" 2004 3127262 4.544e+09 NA NA NA 0 1453.02824003873 NA
"13" "Albania" 2005 3142059 4.794e+09 NA NA NA 0 1525.75110779269 NA
"14" "Albania" 2006 3150884 5.034e+09 NA NA NA 0 1597.64688258914 NA
"15" "Andorra" 1993 63413 NA NA NA NA 0 NA NA
"16" "Andorra" 1994 64769 NA NA NA NA 0 NA NA
"17" "Andorra" 1995 64085 NA NA NA NA 0 NA NA
"18" "Andorra" 1996 64169 NA NA NA NA 0 NA NA
"19" "Andorra" 1997 64893 NA NA NA NA 0 NA NA
"20" "Andorra" 1998 65592 NA NA NA NA 0 NA NA
"21" "Andorra" 1999 65924 NA NA NA NA 0 NA NA
"22" "Andorra" 2000 65908 NA NA NA NA 0 NA NA
"23" "Andorra" 2001 66089 NA NA NA NA 0 NA NA
"24" "Andorra" 2002 66747 NA NA NA NA 0 NA NA
"25" "Andorra" 2003 69740 NA NA NA NA 0 NA NA
"26" "Andorra" 2004 74598 NA NA NA NA 0 NA NA
"27" "Andorra" 2005 77712 NA NA NA NA 0 NA NA
"28" "Andorra" 2006 79886 NA NA NA NA 0 NA NA
"29" "Armenia" 1993 NA 1.32e+09 NA NA NA 0 NA NA
"30" "Armenia" 1994 NA 1.391e+09 NA NA NA 0 NA NA
"31" "Armenia" 1995 NA 1.487e+09 NA NA NA 0 NA NA
