DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,IS,2013,35160,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,IS,2018,39870,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,IS,2023,41490,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2013,25690,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2018,27080,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,IT,2023,28880,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2013,10810,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2018,13400,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LT,2023,14840,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2013,82400,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2018,83390,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LU,2023,83320,p
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2013,9980,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2018,12140,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,LV,2023,13220,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,ME,2013,5230,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,ME,2018,6230,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,MK,2013,3880,e
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,MK,2018,4540,e
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,MT,2013,18030,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,MT,2018,23540,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,MT,2023,26530,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,NL,2013,38550,
ESTAT:NAMA_10_PC(1.0),25/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,NL,2018,42000,
